Contrato;Estado;Descrição;Tipo de contrato;Tipo de procedimento;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Local de execução (País, Distrito, Concelho);Preço contratual;Preço total efetivo;Entidade adjudicante;Entidade adjudicante (NIF);Entidade adjudicante (ID);Entidade adjudicatária;Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Convidados (ID|NIF|Descrição);Concorrentes (ID|NIF|Descrição);Anúncio (ID);Fundamentação;Fundamentação da necessidade de recurso ao ajuste direto;Procedimento centralizado;CPV;Objeto do contrato;Incrementos superiores a 15%;Causas das alterações do prazo;Causas das alterações do preço;Documentos (IDs);Observações
20;;Elaboração das fichas de mão-de-obra, de máquinas e viaturas, para posterior inserção na aplicação informática – Contabilidade de Custos;;Ajuste directo;14/08/2008;;29/09/2008;61 dias;;6.360,10 €;6.360,10 €;Câmara Municipal da Lousã;501121528;45;Ana Sofia Francisco Tomás;226962032;46;;;;Não Preenchido;Não aplicável;;;Elaboração das fichas de mão-de-obra, de máquinas e viaturas, para posterior inserção na aplicação informática – Contabilidade de Custos;;;;;
21;;"Aquisição de 1.000 Cartões Contactless para o Sistema de Cartão Inteligente Multi-Serviços (CIM-3); de 1 Scanner HP Scanjet 5590 digital flatbed scanner; de 3 fital Half para impressora e de 1 Kit de Limpeza para a impressora.";;Ajuste directo;14/08/2008;;;3 dias;;5.611,10 €;;Câmara Municipal da Nazaré;507012100;47;Link Consulting, S.A;504551221;48;;;;Não Preenchido;Não aplicável;;;"Aquisição de 1.000 Cartões Contactless para o Sistema de Cartão Inteligente Multi-Serviços (CIM-3); de 1 Scanner HP Scanjet 5590 digital flatbed scanner; de 3 fital Half para impressora e de 1 Kit de Limpeza para a impressora.";;;;;
22;;Pack para Faço Mics e Pack para Faço Personalizado;;Ajuste directo;18/08/2008;;;2 dias;;15.184,80 €;;Hospital Central de Faro;501457399;49;Bausch & Lomb, S.A.;980218764;50;;;;Ao abrigo da alínea e) do n.º 1 do art.º 24.º do Decreto-Lei n.º 18/08 de 29/01;Não aplicável;;;Pack para Faço Mics e Pack para Faço Personalizado;;;;;
23;;Reparação de centrífuga;;Ajuste directo;18/08/2008;;;3 dias;;10.665,40 €;;CMPEA – Empresa de Águas do Município do Porto, E.M.;507718666;51;STI – Sistemas e Técnicas Industriais, Lda.;500754071;52;;;;Alínea e), do nº 1 do art.º 24º do CCP.;Não aplicável;;;Reparação de centrífuga;;;;;
24;;Instrumental Aesculap;;Ajuste directo;18/08/2008;;;2 dias;;14.311,56 €;;Hospital Central de Faro;501457399;49;B. Braun Medical, Lda;501488421;53;;;;Ao abrigo da alínea e) do n.º 1 do art.º 24.º do Decreto-Lei n.º 18/08 de 29/01;Não aplicável;;;Instrumental Aesculap;;;;;
25;;Aquisição de software de gestão para Laboratório de Genética - SOFTGEN;;Ajuste directo;18/08/2008;;19/09/2008;30 dias;;7.600,00 €;7.600,00 €;IPATIMUP – Instituto de Patologia e Imunologia Molecular da Universidade do Porto;502246308;54;JSalgado Consultoria, Unipessoal, Lda.;508288479;55;;;;Não Preenchido;Não aplicável;;;Aquisição de software de gestão para Laboratório de Genética - SOFTGEN;;;;;
26;;Fornecimento de combustível (gasóleo) a granel;;Ajuste directo;18/08/2008;;;1 dias;;5.325,00 €;;Câmara Municipal de Benavente;506676056;56;Repsol Portuguesa, S.A;500246963;57;;;;Alínea e) do nº 1 do artº 26º do D.L. nº 18/2008.;Não aplicável;;;Fornecimento de combustível (gasóleo) a granel;;;;;
27;;Serviços SIGES/NetP@;Aquisição de serviços;Ajuste directo;18/08/2008;06/08/2008;10/12/2008;4 dias;Portugal, Viseu, Viseu;24.719,99 €;24.719,99 €;Instituto Politécnico de Viseu;680033548;58;DIGITALIS – Distribuição e Gestão de Informática, Lda;503291137;59;;;;Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos;Não aplicável;;48900000-7, Pacote de software e sistemas informáticos diversos;Serviços SIGES/NetP@;;;;;
29;;Packs e Kits para Oftalmologia;;Ajuste directo;17/06/2009;;;2 dias;Portugal, Faro, Faro;16.395,84 €;;Hospital Central de Faro;501457399;49;Amo-Advanced Medical Optics;980262364;60;;;;Ao abrigo da alínea e) do n.º 1 do art.º 24.º do D;Não aplicável;;;Packs e Kits para Oftalmologia;;;;;
30;;Fornecimento continuo de Material em PVC - Saneamento;;Ajuste directo;18/08/2008;;;120 dias;;6.075,31 €;;AGERE – Empresa de Aguas, Efluentes e Resíduos de Braga - EM;504807692;61;Mário Gonçalves Lda;500183872;62;;;;Não Preenchido;Não aplicável;;;Fornecimento continuo de Material em PVC - Saneamento;;;;;
