Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
20;14/08/2008;0;29/09/2008 00:00;61;6.3601;6.3601;501121528;226962032;46;0
21;14/08/2008;0;0;3;5.6111;0.0;507012100;504551221;48;0
22;18/08/2008;0;0;2;15.1848;0.0;501457399;980218764;50;0
23;18/08/2008;0;0;3;10.6654;0.0;507718666;500754071;52;0
24;18/08/2008;0;0;2;14.31156;0.0;501457399;501488421;53;0
25;18/08/2008;0;19/09/2008 00:00;30;7.6;7.6;502246308;508288479;55;0
26;18/08/2008;0;0;1;5.325;0.0;506676056;500246963;57;0
27;18/08/2008;06/08/2008 00:00;10/12/2008 00:00;4;24.71999;24.71999;680033548;503291137;59;0
29;17/06/2009;0;0;2;16.39584;0.0;501457399;980262364;60;0
30;18/08/2008;0;0;120;6.07531;0.0;504807692;500183872;62;0
31;18/08/2008;0;0;120;42.0108;0.0;504807692;500183872;62;0
32;18/08/2008;0;0;120;17.82977;0.0;504807692;500183872;62;0
33;18/08/2008;0;0;120;34.82504;0.0;504807692;500183872;62;0
34;18/08/2008;0;0;120;10.13076;0.0;504807692;504277499;63;0
35;17/06/2009;0;0;120;14.2555;0.0;504807692;500302081;64;0
36;19/08/2008;0;0;8;39.48;0.0;505932512;109612477;66;0
37;12/08/2008;0;0;1;9.75;0.0;501272968;507240502;68;0
38;19/08/2008;0;0;120;36.30235;0.0;504807692;502745789;69;0
39;19/08/2008;0;0;5;6.65707;0.0;501178708;504455133;71;0
40;19/08/2008;0;0;30;55.0188;0.0;501178708;501299980;72;0
41;19/08/2008;0;0;30;6.93;0.0;501178708;125067690;73;0
42;19/08/2008;0;0;30;7.5375;0.0;501178708;504544446;74;0
43;19/08/2008;0;0;10;71978.0;0.0;600075079;501432507;76;0
44;19/08/2008;0;0;120;6.19411;0.0;504807692;503800317;77;0
45;19/08/2008;0;0;1;8.45;0.0;506873412;507505603;79;0
46;19/08/2008;0;0;10;18.0;0.0;505170876;506398137;81;0
47;19/08/2008;0;0;11;20.4;0.0;505170876;504050826;82;0
48;18/08/2008;0;0;75;39.6;0.0;501380574;502982314;84;0
49;19/08/2008;0;0;10;8.738;0.0;506791220;503213764;86;0
50;19/08/2008;0;0;75;25.0;0.0;501380574;503631701;87;0
51;19/08/2008;0;0;15;14.0;0.0;505187531;508528631;89;0
52;19/08/2008;0;0;15;14.5;0.0;505187531;508528631;89;0
53;20/08/2008;0;0;365;21.64193;0.0;508590582;501432507;76;0
54;20/08/2008;0;0;1;9.6;0.0;506772527;508695198;92;0
55;14/08/2008;0;0;13;9.2;0.0;506579425;504994301;94;0
56;20/08/2008;0;0;10;39.5;0.0;505187531;506517527;95;0
57;20/08/2008;0;0;45;30.0;0.0;508412110;502041285;97;0
58;20/08/2008;0;0;3;43.2;0.0;501457399;500247480;98;0
59;20/08/2008;0;0;60;9.6;0.0;508184509;506518108;100;0
60;21/08/2008;0;0;24;5.515;0.0;506572218;501956514;102;0
61;21/08/2008;21/08/2008 00:00;30/09/2008 00:00;60;6.5;6.5;506963837;507351258;104;0
63;21/08/2008;0;0;30;18.85884;0.0;501178708;503755397;106;0
64;21/08/2008;0;0;143;28.05;0.0;501668454;503821012;108;0
65;21/08/2008;0;0;100;74.525;0.0;501668454;505688220;109;0
66;21/08/2008;0;0;300;16.34;0.0;506614913;504385020;111;0
67;21/08/2008;0;0;150;5.075;0.0;506614913;504385020;111;0
68;21/08/2008;0;0;13;6.36;0.0;501442600;503893684;113;0
69;21/08/2008;0;0;152;9.4;0.0;501442600;508232481;115;0
70;21/08/2008;0;0;1;9.6;0.0;506730573;504821440;117;0
71;21/08/2008;0;0;3;1.50798;0.0;501506306;501782230;119;0
72;21/08/2008;0;0;1;1.755;0.0;503539473;500886113;121;0
73;21/08/2008;0;0;2;13.0;0.0;503539473;500886113;121;0
74;21/08/2008;0;0;1;2.84;0.0;503539473;502098317;122;0
75;21/08/2008;0;0;4;1.78462;0.0;503539473;500886113;121;0
76;21/08/2008;0;0;1;40.638;0.0;503539473;502098317;122;0
77;21/08/2008;0;0;3;18.8778;0.0;503539473;502413603;123;0
78;21/08/2008;0;0;2;30.85;0.0;503539473;508037611;124;0
79;21/08/2008;0;0;3;22.878;0.0;503539473;500194670;125;0
80;20/08/2008;0;0;30;10.9;0.0;506787249;503182710;5;0
81;22/08/2008;0;0;40;40.0;0.0;505587815;501308970;129;0
82;17/06/2009;0;0;10;13.0;0.0;511270305;502890398;131;0
83;22/08/2008;0;0;90;52.44;0.0;501178708;507781350;132;0
84;21/08/2008;0;0;1;5.096;0.0;506676056;500246963;57;0
85;20/08/2008;0;0;21;11.82;0.0;506873412;505720558;134;0
86;17/06/2009;19/08/2008 00:00;18/11/2008 00:00;30;9.0066;7.5055;502106506;501551557;137;0
88;22/08/2008;0;0;30;14.567;0.0;501380574;154074063;138;0
89;20/08/2008;0;0;90;50.8;0.0;501373357;500885087;140;0
90;22/08/2008;0;0;30;76.537;0.0;600054128;502299800;142;0
91;25/08/2008;18/08/2008 00:00;0;12;13.8;0.0;500051062;500126003;144;0
92;25/08/2008;0;0;365;22.68323;0.0;680009671;501941231;146;0
93;22/08/2008;0;0;30;22.05;0.0;501617582;501848533;148;0
94;26/08/2008;0;0;15;11.025;0.0;501617582;501848533;148;0
95;26/08/2008;26/08/2008 00:00;23/08/2011 00:00;30;7.85;7.85;506963837;507338472;150;0
97;26/08/2008;0;08/09/2008 00:00;2;30.0;30.0;500832935;507152662;152;0
98;26/08/2008;0;0;30;6.00382;0.0;502678917;500183872;62;0
100;26/08/2008;0;0;10;4.5;0.0;600054128;506155218;156;0
101;20/08/2008;0;0;60;56.09614;0.0;507339240;500941084;158;0
102;20/08/2008;0;0;60;17.2;0.0;507339240;506398420;159;0
103;27/08/2008;0;0;15;12.795;0.0;501120149;166889083;161;0
104;27/08/2008;26/08/2008 00:00;09/09/2009 00:00;365;21.0;21.0;506556590;507781104;163;0
106;22/08/2008;0;0;1;14.0;0.0;501272968;502363444;166;0
107;27/08/2008;0;0;1;6.25;0.0;501272968;165625295;167;0
108;27/08/2008;0;0;15;8.69502;0.0;504915266;500801118;169;0
109;22/08/2008;0;0;8;6.28;0.0;505170876;503401145;170;0
